Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension, Oralcancer 
Lopoke,SHC,,40339,Bhindi Aullakh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1532335229,31.8024511,74.6080174,1532335229,01/03/21,01/03/21,Q1,,0,,Bhindi Aullakh,,31.8024511,74.6080174,,486,890,"5,632",890,890
Lopoke,SHC,,40339,Bhindi Saidan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8148674222,31.8102712,74.6376643,8148674222,01/03/21,01/03/21,Q1,,0,,Bhindi Saidan,,31.8102712,74.6376643,,"1,283","1,744","7,376","2,987","2,713"
Lopoke,SHC,,40339,bhittewad,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7452474245,31.6275173,74.815437,7452474245,28/07/20,28/07/20,Q3,,0,,bhittewad,,31.6275173,74.815437,,"3,035","5,112","11,052","5,530","5,530"
Lopoke,SHC,,40339,Boparai Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7248431855,31.6300856,74.7317056,7248431855,30/11/19,30/11/19,Q4,,0,,Boparai Kalan,,31.6300856,74.7317056,,686,132,"4,333","2,044","2,016"
Lopoke,SHC,,40339,Chawinda Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8553882815,31.6669614,74.6537666,8553882815,28/07/20,28/07/20,Q3,,0,,Chawinda Kalan,,31.6669614,74.6537666,,"1,167","1,563","8,903","2,208","2,210"
Lopoke,SHC,,40339,Chicha,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3633728583,31.5649337,74.6990502,3633728583,30/11/19,30/11/19,Q4,,0,,Chicha,,31.5649337,74.6990502,,"1,482","1,072","11,966","2,643","2,824"
Lopoke,SHC,,40339,Chogawan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1831487580,31.6350053,74.8395778,1831487580,30/11/19,30/11/19,Q4,,0,,Chogawan,,31.6350053,74.8395778,,"1,363",982,"13,732","2,517","2,190"
Lopoke,SHC,,40339,Dugtoot,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3372783542,31.78500014,74.57801767,3372783542,01/03/21,01/03/21,Q1,,0,,Dugtoot,,31.78500014,74.57801767,,676,866,"3,881","1,515","1,515"
Lopoke,SHC,,40339,Gharinda,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1152854152,31.6250084,74.8422998,1152854152,30/11/19,30/11/19,Q4,,0,,Gharinda,,31.6250084,74.8422998,,94,271,"5,101","1,995",485
Lopoke,SHC,,40339,Jhanjoti,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5753745875,31.71990185,74.74714252,5753745875,30/11/19,30/11/19,Q4,,0,,Jhanjoti,,31.71990185,74.74714252,,"1,592",143,"9,976","3,205","2,749"
