Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
Longowal,SHC,,40409,SC Tungan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5376414784,30.1883577,75.84813,5376414784,30/11/19,30/11/19,Q4,,0,,SC Tungan,,30.1883577,75.84813,,414,702,"11,142","1,016",762
Longowal,SHC,,40409,Tolawal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6438557347,30.0696726,75.6784451,6438557347,30/09/21,30/09/21,Q3,,0,,Tolawal,,30.0696726,75.6784451,,118,211,"1,301",211,152
Moonak,SHC,,40410,Badalgarh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3847731548,29.8786224,76.001111,3847731548,12/04/21,12/04/21,Q2,,0,,Badalgarh,,29.8786224,76.001111,,,,666,,
Moonak,SHC,,40410,Bhai Ke Pishore,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5776183682,30.0075067,75.8818976,5776183682,30/11/19,30/11/19,Q4,,0,,Bhai Ke Pishore,,30.0075067,75.8818976,,290,"2,248","5,174","2,252","1,972"
Moonak,SHC,,40410,Doodian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7645587242,29.8792228,75.9425136,7645587242,12/05/21,12/05/21,Q2,,0,,Doodian,,29.8792228,75.9425136,,0,0,265,32,0
Moonak,SHC,,40410,Ladal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7182112610,29.93398094,75.75246429,7182112610,13/03/21,13/03/21,Q1,,0,,Ladal,,29.93398094,75.75246429,,0,21,"3,991","1,207",0
Moonak,SHC,,40410,Maniana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4861876268,29.7749575,75.9022268,4861876268,13/04/21,13/04/21,Q2,,0,,Maniana,,29.7749575,75.9022268,,0,405,"1,591","1,056",553
Sherpur,SHC,,349,Babanpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2634583740,30.4214555,75.878267,2634583740,28/04/20,28/04/20,Q2,,270,,Babanpur,,30.4214555,75.878267,,608,256,"3,308","1,133","1,106"
Sherpur,SHC,,349,Bajwa,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3854474610,30.4146418,75.6917918,3854474610,29/04/20,29/04/20,Q2,,270,,Bajwa,,30.4146418,75.6917918,,1,488,"9,726","1,157",2
Sherpur,SHC,,349,Barri,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1232356525,30.4697766,75.7104485,1232356525,13/03/21,13/03/21,Q1,,270,,Barri,,30.4697766,75.7104485,,0,172,"2,440","1,775",0
Sherpur,SHC,,349,Benra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2472372875,30.3347292,75.8507175,2472372875,13/03/21,13/03/21,Q1,,270,,Benra,,30.3347292,75.8507175,,152,157,"4,027",240,234
Sherpur,SHC,,349,Harchandpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4247377569,30.3629736,75.9015008,4247377569,26/08/20,26/08/20,Q3,,270,,Harchandpur,,30.3629736,75.9015008,,217,824,"7,862","1,719",804
Sherpur,SHC,,349,Katron,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5335513163,30.4522577,75.7453256,5335513163,13/03/21,13/03/21,Q1,,270,,Katron,,30.4522577,75.7453256,,276,773,"3,120","1,350",295
Sherpur,SHC,,349,Palasor,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1865287864,30.3267403,75.9316264,1865287864,13/03/21,13/03/21,Q1,,270,,Palasor,,30.3267403,75.9316264,,138,157,"2,091",264,264
Sherpur,SHC,,349,Pedhni Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8246828522,30.3626081,75.8499457,8246828522,30/11/19,30/11/19,Q4,,270,,Pedhni Kalan,,30.3626081,75.8499457,,130,"1,218","5,808","2,054","1,001"
